Month,DayOfWeek,UniqueCarrier,AirTime,Dest,IsDepDelay,IsArrDelay,DepHourLocal,OriginAirTemp,OriginAirPressure,OriginWindSpeed,OriginSkyCoverage,OriginPrecip1,DestAirTemp,DestAirPressure,DestWindSpeed,DestSkyCoverage,DestPrecip1
8,4,UA,139.0,MCO,False,False,18,272,201,72.0,,0.0,272,167,41.0,,0.0
5,1,TW,,STL,False,False,10,122,112,46.0,8.0,10.0,206,61,21.0,8.0,0.0
1,1,MQ,37.0,MLI,False,True,19,6,225,41.0,8.0,0.0,-6,208,41.0,8.0,0.0
10,6,AA,,ATL,False,False,15,56,211,77.0,8.0,0.0,272,97,52.0,6.0,0.0
1,7,AA,,MCI,False,False,18,61,97,62.0,6.0,0.0,94,213,57.0,0.0,0.0
8,1,UA,,PIT,True,True,17,356,156,31.0,0.0,0.0,317,186,52.0,3.0,0.0
9,2,AA,98.0,EWR,False,False,13,283,152,31.0,7.0,0.0,311,151,41.0,0.0,0.0
4,1,AA,240.0,SFO,True,False,10,122,76,57.0,7.0,0.0,178,205,36.0,0.0,0.0
3,3,AA,211.0,LAX,False,False,11,33,81,72.0,,3.0,183,163,31.0,2.0,0.0
8,5,UA,,TUL,False,False,10,217,146,57.0,8.0,0.0,322,107,26.0,2.0,0.0
11,2,DH,42.0,MBS,True,True,18,194,60,57.0,8.0,0.0,140,92,15.0,8.0,
5,2,AA,,PIA,False,False,12,178,85,67.0,8.0,0.0,200,89,57.0,6.0,0.0
3,6,UA,69.0,MDT,False,False,18,94,137,72.0,0.0,0.0,89,131,72.0,0.0,0.0
4,3,UA,,LGA,False,False,20,94,51,72.0,8.0,0.0,133,41,36.0,8.0,0.0
9,2,AA,102.0,DFW,False,False,8,233,256,21.0,4.0,0.0,300,205,36.0,2.0,0.0
2,5,AA,133.0,DFW,True,True,16,111,9947,98.0,8.0,0.0,211,144,88.0,,0.0
12,5,AA,66.0,MCI,False,False,13,117,150,77.0,4.0,0.0,150,176,21.0,7.0,0.0
5,7,AA,,BOS,False,False,20,117,188,52.0,4.0,0.0,183,30,93.0,4.0,0.0
10,3,AA,91.0,LGA,False,False,18,133,227,52.0,2.0,0.0,117,248,67.0,4.0,0.0
7,6,OO,45.0,DSM,False,False,10,289,152,31.0,7.0,0.0,317,143,21.0,2.0,0.0
3,2,AA,,BOS,False,False,12,-11,294,52.0,7.0,0.0,6,268,88.0,2.0,0.0
3,5,UA,91.0,RIC,True,True,13,33,208,41.0,8.0,3.0,106,149,41.0,8.0,0.0
11,5,UA,236.0,SFO,False,False,13,117,189,41.0,4.0,0.0,156,226,15.0,7.0,0.0
8,3,AA,,DCA,False,False,16,217,220,41.0,6.0,0.0,250,169,52.0,8.0,0.0
3,1,OO,82.0,ALB,False,False,17,11,221,71.0,7.0,0.0,-17,171,82.0,0.0,0.0
8,1,UA,,BOS,False,False,18,211,210,26.0,3.0,0.0,211,180,41.0,8.0,64.0
7,2,AA,96.0,EWR,False,False,7,267,154,46.0,7.0,0.0,339,110,52.0,2.0,0.0
4,3,US,89.0,PHL,False,False,20,122,95,72.0,7.0,0.0,189,50,36.0,7.0,0.0
4,7,UA,202.0,LAS,False,False,8,-17,192,41.0,8.0,0.0,239,59,,6.0,0.0
1,6,UA,50.0,PIT,False,False,21,-6,41,41.0,2.0,0.0,17,92,36.0,7.0,0.0
8,5,MQ,85.0,ATL,True,True,16,294,124,46.0,7.0,0.0,300,175,31.0,4.0,0.0
8,5,AA,,SFO,False,True,9,161,159,62.0,0.0,0.0,217,186,41.0,2.0,0.0
9,7,AA,95.0,EWR,False,False,9,256,88,52.0,4.0,0.0,267,140,41.0,4.0,0.0
8,1,UA,149.0,SLC,False,False,9,283,219,41.0,7.0,0.0,328,170,21.0,6.0,0.0
5,4,NW,67.0,MSP,True,True,15,222,9990,57.0,7.0,0.0,140,9949,36.0,8.0,3.0
1,3,MQ,95.0,BDL,False,False,18,-39,199,46.0,8.0,0.0,17,133,31.0,8.0,0.0
1,2,AA,153.0,MCO,False,True,0,6,156,77.0,8.0,0.0,206,71,31.0,8.0,46.0
3,2,MQ,53.0,PIT,False,False,20,39,240,41.0,4.0,0.0,33,234,36.0,7.0,0.0
6,1,UA,128.0,TPA,True,True,9,228,170,52.0,8.0,0.0,322,179,46.0,4.0,0.0
4,5,AA,64.0,BNA,False,False,9,61,271,0.0,2.0,0.0,122,277,26.0,8.0,0.0
2,2,UA,77.0,PHL,True,True,20,-106,183,77.0,4.0,0.0,50,117,98.0,7.0,0.0
10,5,AA,,OMA,False,False,22,28,153,52.0,8.0,0.0,6,223,77.0,6.0,
12,6,UA,79.0,BWI,True,False,9,-111,204,57.0,8.0,0.0,-17,265,41.0,2.0,0.0
7,7,YV,59.0,BNA,True,True,16,317,94,61.0,7.0,0.0,294,122,31.0,7.0,0.0
1,1,UA,115.0,MCO,False,False,7,-39,164,41.0,7.0,0.0,56,289,46.0,0.0,0.0
2,5,UA,95.0,ATL,False,False,8,-39,156,88.0,7.0,0.0,144,214,67.0,8.0,3.0
10,6,AA,62.0,MCI,False,False,12,172,252,62.0,2.0,0.0,167,229,62.0,7.0,0.0
7,1,AA,84.0,ATL,False,False,13,283,153,26.0,,0.0,361,131,46.0,,0.0
4,7,AA,78.0,MEM,False,False,18,89,162,52.0,8.0,0.0,100,100,62.0,8.0,0.0
9,6,AA,168.0,ELP,False,False,11,206,239,26.0,4.0,0.0,194,176,82.0,7.0,0.0
1,3,AA,256.0,LAX,False,False,7,-11,233,52.0,8.0,0.0,111,217,31.0,0.0,0.0
8,7,US,85.0,CLT,False,False,19,211,149,52.0,7.0,0.0,283,184,15.0,3.0,0.0
7,5,NW,,MSP,False,False,16,300,109,82.0,2.0,0.0,217,133,77.0,7.0,0.0
2,7,MQ,30.0,PIA,True,True,21,33,55,88.0,8.0,10.0,78,0,46.0,8.0,13.0
10,1,AA,,IAH,False,False,15,156,221,98.0,0.0,0.0,250,223,41.0,0.0,0.0
2,2,UA,39.0,CID,False,False,17,-11,240,0.0,7.0,0.0,16,205,61.0,7.0,
2,4,AA,48.0,DTW,False,False,10,44,183,41.0,8.0,0.0,44,237,52.0,,0.0
5,5,MQ,26.0,MLI,True,True,13,67,9980,41.0,8.0,0.0,72,25,61.0,8.0,0.0
2,2,CO,156.0,IAH,False,False,8,22,107,36.0,8.0,0.0,206,176,21.0,7.0,0.0
5,2,US,85.0,CLT,False,False,7,139,192,26.0,8.0,0.0,233,244,21.0,8.0,0.0
10,5,UA,,SJC,True,True,19,117,190,46.0,8.0,0.0,189,9999,26.0,8.0,
10,2,UA,69.0,MSP,False,False,7,61,260,26.0,2.0,0.0,94,140,31.0,0.0,0.0
7,6,MQ,45.0,CMH,False,False,21,344,169,46.0,4.0,0.0,311,166,31.0,4.0,0.0
6,3,AA,108.0,BOS,True,True,22,294,125,46.0,8.0,0.0,228,142,51.0,2.0,0.0
10,2,AA,,RST,False,False,16,111,195,41.0,2.0,0.0,100,177,113.0,7.0,0.0
9,2,UA,,CMH,False,False,11,139,315,41.0,0.0,0.0,133,284,36.0,1.0,0.0
6,1,MQ,27.0,GRR,False,False,8,222,183,0.0,2.0,0.0,222,177,15.0,2.0,0.0
10,6,UA,,HPN,False,False,11,100,227,41.0,0.0,0.0,139,125,51.0,7.0,
10,2,TW,54.0,STL,False,True,18,178,137,26.0,8.0,79.0,239,165,36.0,4.0,0.0
2,6,UA,,DCA,False,False,17,-83,343,41.0,0.0,0.0,-6,213,88.0,2.0,0.0
7,3,UA,224.0,PDX,False,False,18,233,152,62.0,4.0,0.0,278,137,46.0,4.0,0.0
11,2,AA,255.0,SFO,False,False,9,-11,168,46.0,8.0,0.0,167,218,31.0,8.0,0.0
12,4,AA,153.0,PBI,True,True,17,-56,305,21.0,7.0,0.0,244,254,41.0,7.0,0.0
5,2,UA,46.0,CVG,False,False,13,206,110,15.0,2.0,0.0,244,105,31.0,4.0,0.0
10,7,OO,92.0,CHS,False,False,11,100,187,36.0,7.0,0.0,217,184,21.0,2.0,0.0
8,3,AA,137.0,SAT,False,False,8,200,109,36.0,8.0,0.0,344,101,36.0,2.0,0.0
2,5,UA,56.0,PIT,False,False,17,72,151,62.0,7.0,0.0,28,224,31.0,7.0,0.0
9,6,AA,,SLC,False,False,9,178,141,52.0,8.0,13.0,250,156,21.0,6.0,0.0
10,1,UA,235.0,SFO,False,False,8,50,216,77.0,4.0,0.0,150,229,15.0,7.0,0.0
9,2,UA,84.0,RIC,True,True,20,172,152,57.0,8.0,0.0,211,205,31.0,2.0,0.0
8,3,UA,,CVG,False,True,20,233,217,52.0,0.0,0.0,250,203,41.0,6.0,0.0
3,7,AA,256.0,SEA,False,False,11,50,98,103.0,8.0,0.0,128,299,41.0,8.0,0.0
12,2,MQ,49.0,CMH,True,True,20,-83,238,26.0,9.0,8.0,-28,246,31.0,8.0,0.0
12,3,AA,,LAX,True,True,15,-22,112,72.0,8.0,0.0,172,173,46.0,1.0,0.0
9,2,UA,103.0,DFW,False,False,17,294,226,26.0,4.0,0.0,344,172,26.0,2.0,0.0
9,7,UA,103.0,HPN,False,False,18,189,192,57.0,2.0,0.0,210,173,21.0,8.0,0.0
6,7,UA,250.0,SFO,False,False,21,289,134,36.0,0.0,0.0,178,102,77.0,4.0,0.0
10,3,CO,123.0,IAH,False,False,7,161,106,62.0,0.0,0.0,256,203,31.0,7.0,0.0
11,7,UA,,HNL,False,False,12,67,158,77.0,8.0,0.0,278,168,62.0,7.0,0.0
3,7,UA,,ABQ,False,False,10,-28,116,82.0,8.0,0.0,44,204,113.0,2.0,0.0
5,7,AA,,MSP,False,False,15,139,170,52.0,3.0,0.0,178,157,26.0,8.0,0.0
9,2,UA,148.0,MIA,False,False,14,311,227,52.0,6.0,0.0,239,142,46.0,8.0,5.0
6,2,AA,,EWR,False,False,13,372,132,82.0,6.0,0.0,361,112,41.0,6.0,0.0
7,6,UA,221.0,LAX,False,False,20,256,143,0.0,8.0,0.0,190,149,57.0,7.0,0.0
10,6,UA,69.0,LNK,True,True,20,94,100,93.0,6.0,0.0,172,180,52.0,2.0,0.0
5,4,UA,,SFO,False,False,13,228,158,93.0,6.0,0.0,206,137,46.0,6.0,0.0
8,7,CO,107.0,IAH,True,True,17,311,64,57.0,2.0,0.0,300,122,41.0,7.0,0.0
3,2,DH,46.0,MBS,True,True,18,28,258,31.0,2.0,0.0,30,242,26.0,0.0,
4,4,NW,56.0,MSP,False,False,13,6,160,72.0,8.0,0.0,22,279,82.0,8.0,0.0
7,6,AA,45.0,RST,False,False,9,244,103,21.0,8.0,0.0,256,133,67.0,4.0,0.0
4,5,AA,,ALB,False,False,13,78,228,62.0,8.0,0.0,67,252,36.0,8.0,0.0
9,5,CO,101.0,EWR,True,True,18,172,157,62.0,2.0,0.0,244,157,67.0,4.0,0.0
12,5,AA,123.0,BOS,True,True,13,100,39,82.0,8.0,0.0,-6,216,72.0,0.0,0.0
4,7,AA,137.0,PBI,False,False,10,183,181,103.0,4.0,0.0,233,205,77.0,4.0,0.0
4,5,UA,186.0,PHX,True,True,19,22,64,98.0,8.0,0.0,322,114,31.0,7.0,0.0
8,6,CO,94.0,EWR,False,False,9,239,134,31.0,7.0,0.0,278,160,52.0,4.0,0.0
5,4,DL,,ATL,False,False,15,144,227,82.0,0.0,0.0,178,143,72.0,2.0,0.0
8,6,MQ,35.0,CID,False,True,15,294,124,51.0,7.0,0.0,278,158,51.0,0.0,0.0
10,7,AA,,RST,False,False,15,167,164,21.0,3.0,0.0,194,149,77.0,6.0,0.0
8,3,AA,81.0,DCA,False,False,7,189,104,51.0,7.0,0.0,300,15,108.0,6.0,0.0
5,1,UA,48.0,CLE,False,False,16,189,190,82.0,0.0,0.0,172,178,31.0,2.0,0.0
6,6,AA,48.0,DTW,False,False,15,167,235,41.0,2.0,0.0,172,228,15.0,4.0,0.0
1,1,UA,24.0,GRR,False,False,21,-106,68,36.0,7.0,0.0,-140,96,51.0,8.0,0.0
7,5,UA,,LGA,False,True,6,250,158,41.0,8.0,0.0,250,132,36.0,0.0,0.0
6,7,YV,85.0,ATL,True,True,20,256,80,62.0,7.0,0.0,311,107,36.0,4.0,0.0
9,7,UA,134.0,TPA,False,False,13,278,207,57.0,0.0,0.0,317,169,31.0,7.0,0.0
9,2,UA,97.0,PHL,False,False,16,217,208,46.0,0.0,0.0,206,205,41.0,8.0,0.0
2,4,AA,44.0,STL,False,False,20,-56,73,51.0,4.0,0.0,-17,98,21.0,8.0,0.0
7,5,UA,,DCA,False,False,18,211,182,52.0,7.0,0.0,217,105,82.0,7.0,0.0
1,1,AA,158.0,FLL,True,True,17,172,77,88.0,8.0,0.0,244,228,67.0,4.0,0.0
12,2,UA,,IND,False,False,10,56,208,52.0,8.0,0.0,72,238,46.0,8.0,5.0
7,2,UA,193.0,PHX,False,False,20,233,162,56.0,0.0,0.0,400,82,56.0,7.0,0.0
12,2,AA,,SFO,False,False,19,56,39,31.0,3.0,0.0,161,217,67.0,6.0,0.0
12,7,AA,,DTW,False,False,16,128,189,26.0,8.0,0.0,117,211,36.0,8.0,0.0
1,5,AA,161.0,SAT,False,False,13,11,146,72.0,7.0,0.0,89,202,26.0,8.0,0.0
3,1,DL,,CVG,True,True,17,117,90,67.0,1.0,0.0,78,82,62.0,8.0,0.0
1,3,UA,221.0,PHX,False,True,15,0,248,57.0,8.0,3.0,111,137,46.0,7.0,0.0
11,4,UA,,GRR,False,False,15,144,24,82.0,8.0,0.0,106,46,36.0,8.0,0.0
9,3,UA,,SFO,False,False,16,172,38,67.0,5.0,0.0,200,135,82.0,7.0,0.0
1,7,UA,58.0,PIT,False,False,19,6,235,67.0,8.0,0.0,50,215,0.0,8.0,5.0
9,4,UA,,MEM,False,False,19,144,228,31.0,0.0,0.0,239,182,0.0,8.0,10.0
4,2,AA,79.0,DCA,False,False,15,89,152,52.0,,0.0,144,54,93.0,7.0,0.0
10,3,AA,111.0,DFW,False,False,8,133,100,72.0,8.0,0.0,272,186,36.0,0.0,0.0
7,4,NW,,MSP,False,False,8,194,113,88.0,8.0,0.0,239,186,52.0,4.0,0.0
1,3,YV,93.0,ORF,False,False,19,-17,223,62.0,7.0,0.0,44,295,41.0,0.0,0.0
1,2,EA,,ATL,False,False,16,117,189,26.0,8.0,0.0,200,270,31.0,0.0,0.0
7,1,AA,58.0,BNA,False,False,15,228,191,36.0,7.0,0.0,289,195,31.0,2.0,0.0
12,1,UA,,MSY,False,False,8,-6,72,52.0,2.0,0.0,150,260,57.0,7.0,0.0
5,7,AA,87.0,ATL,False,False,15,78,199,88.0,8.0,18.0,267,178,31.0,0.0,0.0
10,4,AA,,ABQ,False,False,12,211,221,52.0,0.0,0.0,278,149,15.0,1.0,0.0
12,4,DL,94.0,ATL,True,True,18,28,195,36.0,8.0,0.0,56,208,0.0,8.0,0.0
9,3,UA,188.0,LAS,True,True,15,167,115,51.0,8.0,0.0,356,46,21.0,4.0,0.0
1,5,UA,63.0,ROC,False,False,11,50,130,57.0,4.0,0.0,28,259,62.0,8.0,0.0
8,4,OO,56.0,BNA,False,False,19,289,100,46.0,4.0,0.0,394,100,46.0,2.0,0.0
8,4,UA,,SFO,False,False,15,344,184,62.0,2.0,0.0,294,139,67.0,0.0,0.0
9,6,AS,363.0,ANC,False,False,20,244,221,46.0,7.0,0.0,128,9955,0.0,4.0,0.0
12,4,UA,86.0,ATL,False,False,7,33,87,62.0,8.0,0.0,106,258,15.0,8.0,0.0
10,7,AA,,LGA,False,False,19,94,209,36.0,5.0,0.0,111,238,57.0,0.0,0.0
8,5,AA,99.0,LGA,False,True,13,278,168,15.0,8.0,0.0,261,208,51.0,4.0,0.0
6,3,DL,,DFW,False,False,16,294,207,57.0,0.0,0.0,339,141,46.0,3.0,0.0
3,6,DL,82.0,ATL,False,False,17,89,86,82.0,8.0,0.0,133,170,21.0,4.0,0.0
3,7,UA,90.0,BDL,False,False,17,39,194,52.0,7.0,0.0,83,83,67.0,0.0,0.0
8,1,AA,80.0,PHL,False,False,21,211,175,67.0,7.0,0.0,233,95,36.0,8.0,0.0
2,7,CO,135.0,IAH,False,False,14,-172,298,82.0,,0.0,222,237,67.0,,0.0
8,1,AA,,RDU,True,True,20,206,143,21.0,8.0,0.0,233,183,15.0,8.0,0.0
7,4,UA,,BDL,False,False,8,300,230,31.0,0.0,0.0,283,195,31.0,6.0,0.0
1,2,DL,180.0,SLC,True,True,15,22,49,36.0,8.0,0.0,-17,206,46.0,8.0,0.0
7,4,UA,,IND,False,False,11,239,151,41.0,8.0,0.0,294,155,31.0,2.0,0.0
11,1,NW,62.0,MSP,False,False,7,0,293,0.0,2.0,0.0,78,227,31.0,4.0,0.0
9,2,MQ,80.0,GSP,False,False,8,244,174,21.0,0.0,0.0,306,172,31.0,0.0,0.0
12,3,NW,75.0,MEM,False,False,17,-83,304,21.0,2.0,0.0,17,294,46.0,0.0,0.0
6,5,AA,50.0,DTW,False,True,14,283,165,15.0,4.0,0.0,272,176,57.0,2.0,0.0
3,2,UA,140.0,DFW,True,True,19,50,54,21.0,8.0,5.0,261,9999,62.0,7.0,0.0
8,7,MQ,25.0,MSN,False,False,15,283,150,51.0,4.0,0.0,289,135,31.0,4.0,0.0
12,4,UA,79.0,ATL,True,True,21,-106,246,31.0,8.0,0.0,72,265,31.0,2.0,0.0
4,7,NW,65.0,MSP,False,False,20,39,227,62.0,2.0,0.0,56,227,46.0,7.0,0.0
8,3,AA,81.0,BWI,False,False,17,250,146,57.0,2.0,0.0,261,160,15.0,4.0,0.0
5,5,UA,,IAH,False,False,8,111,217,31.0,0.0,0.0,294,136,41.0,4.0,0.0
7,1,UA,50.0,CMH,True,True,14,311,177,31.0,4.0,0.0,311,137,41.0,4.0,0.0
11,4,DL,84.0,ATL,True,True,18,39,9997,88.0,8.0,0.0,200,46,41.0,2.0,0.0
2,7,UA,131.0,IAH,False,False,9,11,83,57.0,8.0,0.0,239,151,36.0,8.0,0.0
9,1,CO,91.0,EWR,False,False,8,150,143,41.0,2.0,0.0,261,119,46.0,4.0,0.0
7,4,UA,104.0,LGA,True,True,8,311,141,52.0,0.0,0.0,300,189,52.0,1.0,0.0
5,7,UA,,SMF,False,False,12,144,269,67.0,6.0,0.0,217,9999,31.0,2.0,
12,2,CO,,CLE,False,False,21,89,151,62.0,0.0,0.0,22,205,52.0,3.0,0.0
7,7,AA,,FWA,False,False,20,250,143,41.0,6.0,0.0,272,147,26.0,8.0,0.0
12,4,AA,90.0,RDU,False,False,0,144,86,57.0,8.0,0.0,83,214,0.0,2.0,0.0
2,4,MQ,21.0,MSN,False,False,10,56,249,46.0,0.0,0.0,78,205,41.0,0.0,0.0
1,3,AA,94.0,DFW,True,True,17,-22,178,41.0,8.0,0.0,100,277,36.0,0.0,0.0
12,5,AA,,DCA,False,False,8,-133,246,31.0,2.0,0.0,72,207,31.0,0.0,0.0
3,2,MQ,44.0,CMH,False,False,11,217,186,15.0,7.0,0.0,244,202,46.0,6.0,0.0
11,7,AA,199.0,LAS,True,True,9,94,106,46.0,8.0,5.0,89,235,98.0,2.0,0.0
4,4,UA,105.0,MSY,False,False,19,172,149,52.0,7.0,0.0,217,174,57.0,7.0,0.0
2,2,UA,51.0,DSM,False,False,15,22,92,88.0,8.0,0.0,144,61,93.0,2.0,0.0
4,7,UA,,LGA,False,False,16,28,258,52.0,8.0,0.0,61,228,67.0,8.0,0.0
1,4,UA,86.0,CLT,False,False,14,-28,193,46.0,7.0,0.0,61,167,41.0,8.0,0.0
11,1,AA,93.0,BDL,False,False,0,0,215,36.0,2.0,0.0,-11,221,21.0,2.0,0.0
1,6,UA,,BOI,False,False,10,-28,311,108.0,8.0,0.0,-39,110,15.0,6.0,0.0
10,4,AA,152.0,AUS,True,True,14,250,9911,118.0,7.0,0.0,317,42,0.0,0.0,0.0
11,2,XE,58.0,CLE,False,False,12,-11,46,77.0,8.0,0.0,100,58,67.0,8.0,0.0
11,7,AA,78.0,BWI,False,False,20,72,174,62.0,6.0,0.0,78,234,62.0,8.0,0.0
3,1,AA,92.0,BOS,True,True,20,-39,150,77.0,8.0,0.0,117,179,93.0,8.0,0.0
8,5,DL,45.0,CVG,True,False,18,250,157,31.0,7.0,0.0,256,170,31.0,4.0,0.0
11,3,AA,215.0,SEA,False,False,15,0,197,41.0,7.0,0.0,111,73,0.0,0.0,0.0
8,2,CO,,CLE,False,False,16,272,182,62.0,4.0,0.0,244,176,62.0,8.0,0.0
3,5,AA,,PIT,False,False,17,22,311,46.0,3.0,0.0,11,325,46.0,6.0,0.0
1,7,OO,81.0,LNK,True,True,10,44,27,92.0,2.0,0.0,22,10,87.0,8.0,0.0
10,5,AA,127.0,LGA,False,True,20,144,211,36.0,2.0,0.0,156,138,77.0,8.0,3.0
9,4,UA,195.0,PHX,False,False,20,200,178,46.0,8.0,0.0,356,96,0.0,0.0,0.0
7,3,AA,194.0,PHX,False,False,12,233,133,62.0,8.0,0.0,361,70,31.0,7.0,0.0
6,5,TW,88.0,JFK,False,False,17,161,201,15.0,8.0,0.0,200,206,41.0,6.0,0.0
4,3,MQ,41.0,DAY,False,False,12,139,104,31.0,8.0,0.0,239,135,72.0,7.0,0.0
2,1,UA,,SAT,False,True,19,94,156,82.0,5.0,0.0,178,163,62.0,6.0,0.0
3,7,UA,78.0,IAD,False,False,17,11,209,67.0,7.0,0.0,122,176,46.0,4.0,0.0
8,1,AA,41.0,STL,True,True,23,178,107,56.0,8.0,10.0,294,76,51.0,7.0,0.0
1,6,DL,43.0,CVG,False,False,6,-50,109,26.0,1.0,0.0,-22,132,26.0,8.0,0.0
9,1,UA,222.0,PDX,False,False,8,172,265,36.0,2.0,0.0,150,245,21.0,7.0,0.0
6,1,UA,66.0,PIT,False,False,15,289,218,41.0,0.0,0.0,256,243,31.0,4.0,0.0
3,4,UA,,DTW,False,False,7,0,155,52.0,8.0,0.0,0,116,62.0,8.0,0.0
8,7,UA,215.0,SAN,False,False,12,239,187,21.0,8.0,0.0,244,116,46.0,,0.0
7,7,DL,,MCO,False,False,14,339,78,62.0,5.0,0.0,306,183,62.0,7.0,
5,3,AA,109.0,DFW,True,True,22,222,194,51.0,7.0,0.0,256,158,46.0,8.0,0.0
5,4,UA,237.0,LAX,False,True,17,178,188,77.0,4.0,0.0,172,135,88.0,4.0,0.0
10,7,AA,238.0,SEA,True,False,22,106,180,67.0,4.0,0.0,61,271,0.0,4.0,0.0
5,7,NW,58.0,MSP,False,False,15,200,49,36.0,7.0,5.0,122,130,103.0,8.0,0.0
3,1,PI,,CLT,False,False,11,56,141,41.0,8.0,0.0,83,171,36.0,8.0,0.0
8,5,AA,112.0,DFW,False,False,18,306,121,36.0,4.0,0.0,356,123,72.0,7.0,0.0
10,7,UA,,SEA,False,False,8,44,252,36.0,0.0,0.0,172,150,21.0,5.0,0.0
1,6,US,82.0,CLT,False,False,10,-11,141,15.0,8.0,0.0,94,199,21.0,8.0,0.0
6,5,AA,223.0,SAN,False,False,9,311,151,67.0,0.0,0.0,200,142,51.0,2.0,0.0
4,2,DL,121.0,MCO,False,False,10,111,280,46.0,2.0,0.0,217,179,46.0,0.0,0.0
12,7,MQ,88.0,CLT,False,False,7,0,198,21.0,0.0,0.0,94,245,0.0,4.0,0.0
3,7,MQ,66.0,OMA,True,True,17,6,247,31.0,2.0,0.0,11,268,57.0,8.0,0.0
8,4,AA,90.0,IAD,False,False,20,328,106,62.0,4.0,0.0,328,127,46.0,4.0,0.0
12,2,AA,,BWI,True,True,20,28,122,118.0,6.0,0.0,139,197,52.0,5.0,0.0
7,7,UA,57.0,MSP,False,False,20,261,138,36.0,2.0,0.0,317,80,56.0,4.0,0.0
12,5,DL,,ATL,True,True,15,39,195,41.0,8.0,0.0,150,227,46.0,3.0,0.0
11,1,AA,,PDX,True,True,9,6,115,57.0,8.0,0.0,78,318,31.0,8.0,0.0
1,5,AA,122.0,DFW,False,False,0,-200,255,62.0,0.0,0.0,-50,356,41.0,0.0,0.0
5,4,DL,,ATL,False,False,12,89,134,77.0,8.0,0.0,261,82,72.0,8.0,0.0
6,4,UA,62.0,OMA,False,False,20,317,229,36.0,4.0,0.0,317,202,57.0,2.0,0.0
1,7,DL,173.0,SLC,True,True,15,39,272,67.0,8.0,0.0,33,123,52.0,7.0,0.0
5,4,AA,118.0,DFW,False,False,14,167,232,62.0,2.0,0.0,211,147,93.0,8.0,0.0
9,3,OO,104.0,ORF,False,False,6,117,181,,6.0,0.0,250,198,51.0,0.0,0.0
6,2,AA,102.0,BOS,False,False,6,122,242,46.0,8.0,0.0,250,128,67.0,,0.0
7,3,UA,79.0,DCA,False,False,14,289,184,36.0,0.0,0.0,333,124,26.0,7.0,0.0
5,3,UA,100.0,BTV,False,False,18,167,252,26.0,0.0,0.0,94,285,15.0,7.0,0.0
5,4,AA,87.0,BWI,False,False,6,122,181,36.0,6.0,0.0,150,201,41.0,7.0,0.0
6,3,OO,32.0,PIA,False,False,8,233,217,36.0,0.0,0.0,244,231,0.0,0.0,0.0
